V1brown,V2brown,V3brown,V4brown
CAMTA1,89.8867310161164,100,-0.196982669124903
RERE,91.1508896391018,100,-0.156112540646565
ID3,58.2827654414801,100,-0.11124067673942
SFPQ,88.6225723931309,100,-0.198766759747189
YBX1,78.5093034092473,100,-0.362448576398125
JUN,84.8300965241746,100,0.110892114247051
NFIA,100,100,0.105855096005004
PBX1,91.1508896391018,100,0.102063003026236
RXRG,98.7358413770146,100,-0.109040302406424
PRRX1,73.4526689173055,100,0.103344703067715
ID2,88.6225723931309,100,0.100744943124704
OSR1,97.4716827540291,100,0.102758603272271
PREB,100,100,-0.104797419848556
FOSL2,86.09425514716,100,0.102942214659171
ZFP36L2,83.5659379011891,100,0.108837678953381
EPAS1,81.0376206552182,100,0.107110088153944
ZEB2,86.09425514716,100,-0.22721157633834
NFE2L2,84.8300965241746,100,0.106423466515432
STAT1,81.0376206552182,100,0.104365713562975
SP100,94.9433655080582,100,0.101797005413025
PPARG,77.2451447862619,100,-0.447985707493205
PBRM1,100,100,-0.100549265097597
FOXP1,93.6792068850727,100,0.105174276000977
RBPJ,83.5659379011891,100,0.101950623860975
SUB1,94.9433655080582,100,-0.17231574085595
ZBED3,82.3017792782037,100,-0.285347494302151
EGR1,78.5093034092473,100,0.106050623796582
CREBRF,96.2075241310436,100,0.101513187702289
RREB1,93.6792068850727,100,-0.150313597966037
FOXO3,98.7358413770146,100,0.100273301270361
PLAGL1,91.1508896391018,100,0.104001971468055
AHR,92.4150482620873,100,0.103394560874495
TWIST1,93.6792068850727,100,-0.116016281347606
HOXA5,83.5659379011891,100,-0.151699709761132
ZNF117,88.6225723931309,100,-0.225367768595529
MLXIPL,81.0376206552182,100,-0.492114558465877
GTF2I,92.4150482620873,100,-0.169308192077995
REPIN1,100,100,-0.101414331727031
TSC22D3,93.6792068850727,100,0.103381984580218
EBF2,84.8300965241746,100,-0.197094703583134
CEBPD,93.6792068850727,100,0.100934670409146
SNAI2,77.2451447862619,100,0.11980400071504
ZFHX4,96.2075241310436,100,0.103159018122631
OSR2,78.5093034092473,100,0.110506163151624
ZNF706,83.5659379011891,100,-0.391050496922762
ZHX1,96.2075241310436,100,-0.121740796936689
MYC,72.1885102943201,100,-0.176205297302469
GLI4,89.8867310161164,100,-0.190729437041093
HSF1,100,100,-0.102700751084436
BNC2,91.1508896391018,100,0.100733707118248
KLF9,89.8867310161164,100,0.107863941402556
KLF4,82.3017792782037,100,0.103489350171476
AKNA,98.7358413770146,100,-0.105526961974544
PRRX2,91.1508896391018,100,0.101988305008211
RXRA,81.0376206552182,100,-0.297623455276277
DNAJC1,94.9433655080582,100,0.108321215250749
ZEB1,77.2451447862619,100,0.109857549168089
TFAM,100,100,-0.10320221772533
ARID5B,68.3960344253637,100,0.100395679598745
ZNF503,87.3584137701455,100,0.110625837404226
CREB3L1,93.6792068850727,100,0.101970214284519
NR1H3,77.2451447862619,100,-0.532222283910772
ESRRA,89.8867310161164,100,-0.187224050336575
ZNF385A,98.7358413770146,100,-0.108346477833149
NFYB,82.3017792782037,100,0.106343929328606
ZNF664,94.9433655080582,100,-0.145147794908434
GTF3A,81.0376206552182,100,-0.344196246463293
HMGB1,84.8300965241746,100,0.109549190683978
FOXO1,96.2075241310436,100,-0.124282546560431
NFATC4,98.7358413770146,100,0.103515596431854
ZFP36L1,73.4526689173055,100,0.103521508535843
FOS,70.9243516713346,100,0.104510776734049
SMAD3,83.5659379011891,100,0.102449649195826
MESP1,78.5093034092473,100,-0.481972209741299
NR2F2,88.6225723931309,100,0.102178302189272
CARHSP1,84.8300965241746,100,0.105669558401886
MAF,84.8300965241746,100,0.101729635083986
SREBF1,79.7734620322328,100,-0.60734273567282
ZNF207,100,100,-0.101127097660518
THRA,96.2075241310436,100,-0.128829479442877
MLX,100,100,-0.103001072221835
PHB,73.4526689173055,100,-0.671923632007163
TGIF1,83.5659379011891,100,0.101767312140731
TCF4,78.5093034092473,100,0.105277611893521
MAFB,88.6225723931309,100,-0.207752717790499
CEBPB,82.3017792782037,100,-0.331431251054987
TSHZ2,100,100,0.106359162126689
JUNB,69.6601930483492,100,0.103065745736917
NR2F6,94.9433655080582,100,-0.135546009259434
JUND,91.1508896391018,100,0.10294450619616
CEBPA,81.0376206552182,100,-0.444326409543288
FOSB,83.5659379011891,100,0.111272089483826
ATF4,86.09425514716,100,0.103393668861477
SREBF2,100,100,-0.105199744376962
SON,91.1508896391018,100,-0.203862456061051
RUNX1,98.7358413770146,100,0.103279309946518
